training_iteration,timesteps_total,timesteps_this_iter,episodes_total,episodes_this_iter,episode_len_mean,episode_reward_mean,episode_reward_min,episode_reward_max,success_mean,success_phase1_mean,success_qtr_mean,full_success_mean,phase2_started_mean,nav_hits_mean_mean,nav_hits_r0_mean,nav_hits_r1_mean,dual_stagnation_steps_mean,entropy,policy_loss,vf_loss,vf_explained_var,kl,cur_kl_coeff,entropy_coeff_used,iter_time_s,wall_time_s_total
28,181373,6312,309,11,579.65,990.233514821078,-252.81771475666045,2590.745598146293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09787080536286,-0.0023055843339534476,1.7470822927852472,0.18306327623625596,0.0161334974395385,0.01,0.0173810599109052,159.4482661508955,4583.409873186611
29,187945,6572,320,11,588.64,980.6587946923489,-252.81771475666045,2590.745598146293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.031868673773372,-0.0013116134723246682,1.6144529293565189,0.20339850269111934,0.01803298456273094,0.009999999999999998,0.017294154611350674,165.21870327019133,4748.628576456802
30,194445,6500,330,10,594.0,986.7168031139826,-252.81771475666045,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8478788872154395,-9.70435955998849e-05,1.7000714392078167,0.24169006676090007,0.00856383458663128,0.01,0.017207683838293922,162.03019775287248,4910.658774209674
31,200945,6500,340,10,599.68,938.6922687433163,-252.81771475666045,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45464768222734,0.0002273044421100149,1.7016575736158035,0.2073460625667198,0.012788802320175093,0.004999999999999999,0.017121645419102452,165.82153210113756,5076.480306310812
32,207163,6218,350,10,605.9,950.8405728310205,-252.81771475666045,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344595089554787,-0.0007321802414177607,1.6721804591516654,0.28933647498488424,0.012027936736664776,0.005,0.01703603719200694,154.63113094191067,5231.111437252723
33,213893,6730,362,12,606.05,918.9568358656393,-252.81771475666045,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545673284622339,-4.797087525590681e-05,1.7486853927373887,0.2072881831572606,0.010432622792877298,0.004999999999999999,0.016950857006046902,169.2627519450616,5400.374189197784
34,220248,6355,372,10,607.72,977.6092882201503,-252.81771475666045,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.829555589675904,-0.0024468186576850712,1.808590919971466,0.19826333451271058,0.018506527430785624,0.005,0.016866102721016667,159.1727718131151,5559.546961010899
35,226503,6255,383,11,605.25,1023.430662949226,-163.07495424174834,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.406843750330866,-0.0020980910469340732,1.7848942637443543,0.3161429102323493,0.01719478351593872,0.005,0.016781772207411585,164.97706691804342,5724.524027928943
36,232754,6251,394,11,600.06,1027.8808891933331,-163.07495424174834,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.464474787314733,-0.0014012798618447655,1.7612252883613109,0.1376976062854131,0.011992910575888359,0.005,0.016697863346374527,159.73823782312684,5884.26226575207
37,238911,6157,405,11,597.56,986.9385094530923,-273.14837774863537,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.632221898626774,-0.002203173207198369,1.7831047796188517,0.3037467209582633,0.01544363234207488,0.004999999999999999,0.016614374029642654,154.76691583590582,6039.0291815879755
38,245182,6271,415,10,603.78,999.9477005247973,-273.14837774863537,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.346820276610705,-0.0027206622463251864,1.703615128020851,0.2529724503050045,0.01713909551041593,0.005,0.01653130215949444,163.28671157197095,6202.315893159946
39,251913,6731,426,11,600.68,996.1114156942851,-273.14837774863537,2818.044918374593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146942103583858,-0.00457317416626468,1.7755360299686216,0.27965603706971653,0.02138745811035374,0.005,0.01644864564869697,170.24435721104965,6372.560250370996
40,258120,6207,436,10,597.75,1049.0826699551387,-273.14837774863537,2674.0601019355286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08691713518026,0.0001929317209014327,1.7689055900184476,0.4326650759395288,0.013971252792113684,0.005,0.016366402420453483,157.83008626289666,6530.390336633893
41,264676,6556,448,12,588.13,1084.385658673094,-273.14837774863537,2674.0601019355286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6463828539848326,-0.002478517385199666,1.9035506768226624,0.15474287390708924,0.01955124582626775,0.005,0.016284570408351216,163.94931529299356,6694.339651926886
42,271413,6737,459,11,589.58,1084.0896512550437,-273.14837774863537,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430716327520517,-0.003869454360728224,1.735942695232538,0.36092367722437935,0.024198789191366532,0.004999999999999999,0.016203147556309458,170.47094571613707,6864.810597643023
43,278184,6771,471,12,585.86,1060.1363801238203,-273.14837774863537,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.055378644606646,-0.005192441562265979,1.7170734302670347,0.23300573744025885,0.020457980081105227,0.004999999999999999,0.01612213181852791,168.80264740693383,7033.613245049957
44,284684,6500,481,10,594.81,1034.3172469589003,-273.14837774863537,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.002384248434328,1.0867726386469953e-06,1.702021800069248,0.03676111815022487,0.015024526012941047,0.004999999999999999,0.01604152115943527,165.1268769952003,7198.7401220451575
45,291094,6410,491,10,601.42,1013.8355254537638,-273.14837774863537,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.487374747276307,-0.002011822617147118,1.596195280790329,0.4104946732521057,0.027594135983804256,0.005,0.015961313553638095,160.58525737002492,7359.325379415182
46,297513,6419,502,11,601.59,1013.8910010483979,-116.3664307292795,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1291087066426,-0.0009759420688793647,1.7567954874506184,0.3287186631969377,0.01501577854975155,0.004999999999999999,0.015881506985869903,163.36938017793,7522.694759593112
47,303827,6314,512,10,605.95,947.9045472538305,-116.3664307292795,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.169392927169799,-0.003362540155649185,1.6632488534450531,0.5190588762760162,0.023639921925380804,0.005,0.015802099450940552,160.56901438487694,7683.263773977989
48,310090,6263,524,12,592.1,922.1609903716444,-129.19074331764267,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60662085085499,-0.0030648041581877563,1.7313050489036403,0.26009036971598254,0.01840331108313572,0.005,0.01572308895368585,158.95254427590407,7842.216318253893
49,316758,6668,535,11,592.88,901.530862612631,-129.19074331764267,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.622189779101678,-0.002696275792330644,1.7905641342109104,0.2645623707546378,0.020221418384855867,0.005,0.015644473508917418,169.03089710511267,8011.247215359006
50,323367,6609,546,11,595.81,804.0104283906081,-175.2925495820557,2776.9790004747097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.206187334427467,-0.0017376415046433417,1.6392636709488355,0.4213105356464019,0.021252351140832654,0.004999999999999999,0.01556625114137283,167.6485154130496,8178.895730772056
51,329563,6196,556,10,601.0,749.8187658344327,-175.2925495820557,2717.636551157342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1822676123405,-0.0008606718510997539,1.6383305330665745,0.3999450347861465,0.022947839378337158,0.005,0.015488419885665966,155.85761424317025,8334.753345015226
52,335919,6356,566,10,601.8,751.8871511575213,-175.2925495820557,2717.636551157342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1673705892562865,-0.0002867135377600789,1.7540099658966064,0.289137557387352,0.017464677822311325,0.005,0.015410977786237635,159.96519992803223,8494.718544943258
53,342659,6740,577,11,605.75,731.3669896066115,-175.2925495820557,2595.865318307273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.607626427344556,6.975955154114174e-05,1.7066570846539624,0.40552684406064593,0.020682004947663438,0.005,0.015333922897306446,172.52973243198358,8667.248277375242
